model,method,checkpoint,dataset,n_items,majority_correct,majority_accuracy_pct,pass_at_1_pct,pass_at_2_pct,pass_at_4_pct,pass_at_64_pct
Qwen3-4B,Base,base,OptMATH,166,41,24.70,14.16,21.89,31.33,NA
Qwen3-4B,Base,base,MAMO,203,72,35.47,25.00,34.81,44.33,NA
Qwen3-4B,Base,base,NL4OPT,228,177,77.63,75.22,79.31,80.70,NA
Qwen3-4B,Base,base,InOR,100,52,52.00,41.56,48.84,55.11,70.00
StepORLM,Base,base,OptMATH,166,29,17.47,10.99,16.67,22.29,NA
StepORLM,Base,base,MAMO,203,127,62.56,52.22,65.02,72.91,NA
StepORLM,Base,base,NL4OPT,228,215,94.30,92.54,95.83,97.37,NA
StepORLM,Base,base,InOR,100,46,46.00,36.50,43.90,49.25,62.00
